country,year,lat,lon,wealthpooled,households,urban_rural
angola,2015,-8.910408,13.264357,2.27917885780334,26,1
angola,2015,-9.027422,13.386717,1.15247666835785,18,1
angola,2015,-16.180494,15.785886,-0.618681132793427,26,0
angola,2015,-7.220066,12.86575,0.480884730815887,25,1
angola,2015,-16.758898,15.877738,-0.587574124336243,26,0
angola,2015,-6.363958,16.657312,-1.06628155708313,24,0
angola,2015,-7.620021,16.177563,-0.992653787136078,26,0
angola,2015,-7.594098,15.039044,0.770413756370544,25,0
angola,2015,-13.042309,14.263358,-0.0704117640852928,25,1
angola,2015,-5.607514,12.200821,1.08814537525177,24,1
angola,2015,-11.970251,14.063479,-0.473292976617813,25,0
angola,2015,-11.866695,15.541286,-0.547267317771912,26,0
angola,2015,-5.593386,12.206088,1.95584332942963,21,1
angola,2015,-8.751703,15.380683,0.714113652706146,26,0
angola,2015,-8.804702,13.284991,1.70935559272766,26,1
angola,2015,-12.126117,17.61125,-1.15902256965637,26,0
angola,2015,-9.679307,14.427823,1.13892388343811,22,1
angola,2015,-8.546458,15.311492,-0.521506726741791,25,0
angola,2015,-11.368861,16.136431,-0.902432262897491,26,0
angola,2015,-12.225834,20.374857,-1.03250646591187,26,0
angola,2015,-5.563622,12.210229,1.38910591602325,23,1
angola,2015,-9.669557,20.367843,-0.437827527523041,21,1
angola,2015,-8.80611,13.277665,1.74939870834351,26,1
angola,2015,-8.589805,13.640789,1.41776072978973,23,1
angola,2015,-10.956056,14.587493,-0.48750028014183,23,1
angola,2015,-16.31879526,12.6137992,-1.21222531795502,25,0
angola,2015,-8.88011,13.385518,1.82129633426666,24,1
angola,2015,-15.599007,13.417271,-1.11173963546753,25,0
angola,2015,-12.222153,16.644706,-0.396741688251495,26,0
angola,2015,-6.069252,15.127256,0.337131202220917,24,1
angola,2015,-12.748934,15.683734,0.458764523267746,25,1
angola,2015,-8.886009,13.294562,1.000035405159,23,1
angola,2015,-12.757555,15.735795,0.369357198476791,24,1
angola,2015,-12.745172,15.768382,0.259255975484848,21,1
angola,2015,-9.484826,20.376952,-0.689303874969482,26,0
angola,2015,-17.371023,15.890687,0.172210350632668,22,1
angola,2015,-15.190237,12.185573,0.576553285121918,26,1
angola,2015,-11.668122,14.147692,-0.854611158370972,21,0
angola,2015,-11.890309,16.984376,-0.927709817886353,26,0
angola,2015,-7.239461,12.880279,0.464586079120636,25,1
angola,2015,-6.126775,12.340731,1.46322953701019,22,1
angola,2015,-11.750668,19.654028,-0.665876686573029,21,0
angola,2015,-11.653346,20.518765,-0.725575983524323,26,0
angola,2015,-15.178039,13.75617,-0.426737397909164,26,0
angola,2015,-8.878203,13.228434,1.57903146743774,16,1
angola,2015,-14.13470055,13.53974835,-0.863961040973663,26,0
angola,2015,-7.718385,14.122619,-0.869687259197235,21,0
angola,2015,-11.03028,17.05684,-0.548587083816528,26,0
angola,2015,-6.136623,12.379944,0.761878669261932,22,1
angola,2015,-14.66879,17.660465,0.226759985089302,25,1
